TVAL - ターゲットヒートマップ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
期間:,2025年01月01日(水)～2025年12月31日(水)：期間平均,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
エリア:,関東,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
期間内最新サンプルサイズ:,"個人全体 12,025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
視聴種別:,リアルタイム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
データ区分:,視聴率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利用データ:,確報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
単位:,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レポート作成日時:,2026年03月31日(火) 13:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
データ提供元:,"Switch Media, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NHK総合,,,,,,,,日本テレビ,,,,,,,,テレビ朝日,,,,,,,,TBS,,,,,,,,テレビ東京,,,,,,,,フジテレビ,,,,,,
14:00,0.665621,0.805391,0.656086,0.640758,0.638975,1.607947,1.323546,,2.206111,2.158858,2.075717,2.010716,2.02874,1.844069,2.330707,,1.138853,1.071754,1.144683,0.995074,0.811766,1.469379,1.142168,,2.312275,2.159454,2.232152,2.174861,2.263301,1.944773,1.409299,,0.616074,0.671968,0.746053,0.684871,0.687994,0.472205,1.690146,,0.782746,0.685525,0.697688,0.656904,0.701428,1.096111,2.216637
15:00,0.62046,0.747392,0.628901,0.610799,0.627695,1.329337,1.341925,,2.048413,1.980257,1.911844,1.889132,1.927926,1.454484,1.64656,,1.480771,1.391368,1.472268,1.310928,1.200379,1.191919,1.761688,,2.10734,2.017592,2.055263,2.015318,2.077289,1.875989,1.356637,,0.593687,0.609513,0.673416,0.614114,0.612597,0.921726,1.648214,,0.705903,0.633589,0.652953,0.610636,0.617932,1.131251,1.989241
16:00,0.792184,0.974857,0.821565,0.823843,0.827826,1.56165,1.704057,,2.157067,2.096214,2.163817,2.076138,2.071142,1.675896,1.724085,,2.013119,1.914436,1.979559,1.907969,1.889194,1.391345,2.807362,,2.216535,2.079277,2.065656,2.070351,2.063865,1.870364,1.045224,,0.365979,0.374998,0.42682,0.386102,0.364199,0.499343,0.867011,,0.903401,0.790862,0.830767,0.776704,0.745262,1.272185,1.319124
17:00,1.387415,1.544594,1.511733,1.461285,1.473715,2.137873,2.440405,,3.142983,3.121748,3.031844,2.959341,3.004817,2.784595,3.640025,,2.163491,2.060896,2.140361,2.033686,2.088077,2.78799,3.677496,,2.672208,2.585597,2.604169,2.644755,2.532759,2.305574,1.182237,,0.535409,0.50988,0.533024,0.524911,0.215653,0.537022,0.595035,,1.447974,1.316734,1.332839,1.303514,1.302344,2.13657,2.106449
18:00,2.770299,2.867148,2.861009,2.792677,2.84275,3.005903,3.167806,,4.84891,4.727661,4.373552,4.365479,4.343673,4.832002,5.603735,,2.822846,2.558576,2.741213,2.534383,2.942612,3.757699,4.533711,,3.218203,3.29886,3.299679,3.463303,3.352554,3.243602,2.650496,,1.884462,1.736838,1.684248,1.721589,0.585175,1.626267,0.587315,,2.319955,2.148269,2.117475,2.052457,2.211298,1.975669,4.329865
19:00,5.326847,5.367948,5.517963,5.407813,5.305997,5.651818,6.189598,,5.269097,6.20625,4.165961,5.525269,3.876179,5.136146,6.067929,,4.779469,3.270946,3.816466,3.366685,5.84059,4.310382,4.337124,,2.963874,3.577514,4.04559,4.08432,3.149961,3.909163,5.319973,,3.02531,2.476968,2.533562,2.311132,1.38914,3.133586,2.025601,,3.134678,2.818281,3.204178,2.673423,2.797377,2.785219,3.546083
20:00,3.718863,3.725029,3.669505,3.959507,4.843712,4.166786,5.572792,,5.356383,5.621361,4.33856,6.21915,4.292959,4.835101,6.347787,,6.094077,4.223027,4.760676,4.452895,4.913114,5.044581,5.054514,,3.589899,4.815216,4.621611,4.143087,3.822598,4.655628,5.783842,,2.796283,3.002263,2.88602,2.555362,2.668114,3.625109,2.254409,,3.831978,3.479365,3.879705,3.272573,2.958952,3.454803,3.595145
21:00,5.350961,5.171999,5.777446,5.391911,5.733622,3.606653,2.894258,,4.619127,4.942612,4.475545,5.365971,4.0155,3.773749,4.592251,,5.459173,3.691563,4.727834,4.462662,4.244072,5.033033,5.1242,,3.085958,5.824466,3.886377,3.966222,3.6255,4.543702,6.392243,,2.248056,2.634501,1.982882,1.9026,2.643808,3.936268,2.794837,,3.869205,2.540628,3.42201,2.88885,3.193649,3.456313,3.317584
22:00,2.186228,2.126419,2.761815,2.174919,2.552702,1.945609,2.188625,,5.361738,4.203022,2.977685,3.386318,4.068117,2.755298,3.068494,,6.296632,6.590482,6.717825,6.930035,6.307949,3.115585,2.455057,,2.476516,3.645378,3.594239,3.073369,3.175001,7.419998,4.113243,,1.528964,1.690439,1.767781,1.714515,1.416753,1.453291,1.634923,,2.647335,2.075462,2.613117,2.612335,3.019614,3.596922,5.174322
23:00,1.111788,1.091484,1.500491,1.190108,1.497069,1.058383,1.410056,,5.075928,4.524411,4.144268,4.093153,3.02219,2.146849,2.578551,,2.625899,2.780444,2.576694,3.090214,2.618745,1.176443,1.952237,,2.065384,2.348034,2.549706,2.165575,2.879258,6.146942,2.03802,,0.783653,0.999655,1.057431,1.091021,2.05989,0.780965,0.967341,,1.344052,1.152796,1.354239,1.443661,1.911599,2.239132,2.419024
24:00:00,0.837759,0.912627,1.120331,0.917713,0.984987,0.744733,0.748281,,2.203369,1.941792,1.724664,1.510069,2.193686,1.942608,1.71758,,1.22271,1.493162,1.002539,1.870325,1.179572,0.686438,1.196225,,0.940634,0.940505,1.322792,0.700746,1.705762,2.198491,0.702316,,0.350707,0.452847,0.465155,0.621376,0.861896,0.506619,0.595186,,0.955979,0.902553,1.016993,1.137454,0.989699,1.096334,1.140167
25:00:00,0.565212,0.558735,0.632817,0.570016,0.630022,0.542361,0.373255,,0.896875,0.695672,0.74301,0.708106,1.077068,0.720304,0.787488,,0.657802,0.743495,0.587086,0.890039,0.64178,0.381509,0.561023,,0.416313,0.479733,0.624816,0.389817,0.813501,1.045765,0.437436,,0.238876,0.301956,0.30964,0.236893,0.360937,0.53167,0.488097,,0.46874,0.442465,0.442065,0.480557,0.566541,0.612028,0.59892
26:00:00,0.341412,0.33836,0.358249,0.339085,0.43342,0.369076,0.248146,,0.479703,0.390101,0.482202,0.449173,0.618715,0.381374,0.435274,,0.384312,0.387758,0.328352,0.451931,0.355921,0.229942,0.310783,,0.239706,0.275691,0.327216,0.2352,0.370324,0.574964,0.231798,,0.15287,0.218236,0.148851,0.164014,0.199285,0.296491,0.218228,,0.289748,0.282862,0.317054,0.29717,0.366993,0.351461,0.361299
27:00:00,0.245046,0.236429,0.266553,0.246938,0.307499,0.249273,0.198984,,0.276011,0.245035,0.279815,0.268138,0.351576,0.251269,0.239055,,0.249241,0.242021,0.205118,0.272388,0.246311,0.171463,0.201074,,0.238307,0.246446,0.294291,0.237096,0.236677,0.352003,0.202929,,0.096583,0.117382,0.114876,0.134318,0.1276,0.186659,0.098093,,0.215862,0.243513,0.216304,0.200666,0.253805,0.222864,0.246428
28:00:00,0.234037,0.235326,0.247937,0.234663,0.314604,0.295423,0.206704,,0.389286,0.384201,0.392893,0.400905,0.257785,0.193726,0.382623,,0.362201,0.365428,0.34099,0.387264,0.30848,0.182164,0.341236,,0.70076,0.722701,0.723241,0.705343,0.491427,0.427762,0.655378,,0.043301,0.046748,0.053522,0.049863,0.06873,0.13754,0.056544,,0.221106,0.223336,0.220608,0.203404,0.17142,0.151402,0.211306
